,State,Year,Quater,User_brand,User_count,User_percentage
353,Andhra Pradesh,2021,4,Vivo,4381023,19.48
354,Andhra Pradesh,2021,4,Samsung,4017419,17.86
355,Andhra Pradesh,2021,4,Oppo,2580845,11.48
356,Andhra Pradesh,2021,4,Realme,2528884,11.24
357,Andhra Pradesh,2021,4,Apple,544986,2.42
358,Andhra Pradesh,2021,4,OnePlus,525373,2.34
359,Andhra Pradesh,2021,4,Motorola,474422,2.11
360,Andhra Pradesh,2021,4,Huawei,409934,1.82
361,Andhra Pradesh,2021,4,Lenovo,224391,1.00
362,Andhra Pradesh,2021,4,Others,1283514,5.71
363,Andhra Pradesh,2022,1,Xiaomi,5743382,24.07
364,Andhra Pradesh,2022,1,Vivo,4772765,20.00
365,Andhra Pradesh,2022,1,Samsung,4124296,17.29
366,Andhra Pradesh,2022,1,Realme,2864092,12.00
367,Andhra Pradesh,2022,1,Oppo,2780974,11.66
368,Andhra Pradesh,2022,1,Apple,594003,2.49
369,Andhra Pradesh,2022,1,OnePlus,580737,2.43
370,Andhra Pradesh,2022,1,Motorola,463652,1.94
371,Andhra Pradesh,2022,1,Huawei,401477,1.68
372,Andhra Pradesh,2022,1,Lenovo,222586,0.93
373,Andhra Pradesh,2022,1,Others,1309987,5.49
374,Arunachal Pradesh,2018,1,Xiaomi,5212,24.25
375,Arunachal Pradesh,2018,1,Samsung,4354,20.26
376,Arunachal Pradesh,2018,1,Vivo,3523,16.39
377,Arunachal Pradesh,2018,1,Oppo,2608,12.13
378,Arunachal Pradesh,2018,1,Realme,1297,6.03
379,Arunachal Pradesh,2018,1,Apple,628,2.92
380,Arunachal Pradesh,2018,1,Gionee,563,2.62
381,Arunachal Pradesh,2018,1,Lenovo,420,1.95
382,Arunachal Pradesh,2018,1,OnePlus,403,1.87
383,Arunachal Pradesh,2018,1,Motorola,343,1.60
384,Arunachal Pradesh,2018,1,Others,2144,9.97
385,Arunachal Pradesh,2018,2,Xiaomi,8058,24.51
386,Arunachal Pradesh,2018,2,Samsung,6633,20.17
387,Arunachal Pradesh,2018,2,Vivo,5591,17.00
388,Arunachal Pradesh,2018,2,Oppo,4204,12.78
389,Arunachal Pradesh,2018,2,Realme,1943,5.91
390,Arunachal Pradesh,2018,2,Apple,869,2.64
391,Arunachal Pradesh,2018,2,Gionee,730,2.22
392,Arunachal Pradesh,2018,2,Lenovo,581,1.77
393,Arunachal Pradesh,2018,2,OnePlus,554,1.68
394,Arunachal Pradesh,2018,2,Motorola,514,1.56
395,Arunachal Pradesh,2018,2,Others,3206,9.75
396,Arunachal Pradesh,2018,3,Xiaomi,11250,24.50
397,Arunachal Pradesh,2018,3,Samsung,9307,20.27
398,Arunachal Pradesh,2018,3,Vivo,8226,17.91
399,Arunachal Pradesh,2018,3,Oppo,5992,13.05
400,Arunachal Pradesh,2018,3,Realme,2676,5.83
401,Arunachal Pradesh,2018,3,Apple,1153,2.51
402,Arunachal Pradesh,2018,3,Gionee,1024,2.23
403,Arunachal Pradesh,2018,3,OnePlus,740,1.61
404,Arunachal Pradesh,2018,3,Motorola,722,1.57
405,Arunachal Pradesh,2018,3,Lenovo,629,1.37
406,Arunachal Pradesh,2018,3,Others,4203,9.15
407,Arunachal Pradesh,2018,4,Xiaomi,15097,24.41
408,Arunachal Pradesh,2018,4,Samsung,12580,20.34
409,Arunachal Pradesh,2018,4,Vivo,11624,18.79
410,Arunachal Pradesh,2018,4,Oppo,8328,13.46
411,Arunachal Pradesh,2018,4,Realme,3613,5.84
412,Arunachal Pradesh,2018,4,Apple,1517,2.45
413,Arunachal Pradesh,2018,4,Gionee,1188,1.92
414,Arunachal Pradesh,2018,4,Motorola,944,1.53
415,Arunachal Pradesh,2018,4,OnePlus,896,1.45
416,Arunachal Pradesh,2018,4,Lenovo,831,1.34
417,Arunachal Pradesh,2018,4,Others,5234,8.46
418,Arunachal Pradesh,2019,1,Xiaomi,18809,24.44
419,Arunachal Pradesh,2019,1,Samsung,15537,20.19
420,Arunachal Pradesh,2019,1,Vivo,14892,19.35
421,Arunachal Pradesh,2019,1,Oppo,10738,13.95
422,Arunachal Pradesh,2019,1,Realme,4413,5.73
423,Arunachal Pradesh,2019,1,Apple,1870,2.43
424,Arunachal Pradesh,2019,1,Gionee,1310,1.70
425,Arunachal Pradesh,2019,1,Motorola,1137,1.48
426,Arunachal Pradesh,2019,1,OnePlus,1114,1.45
427,Arunachal Pradesh,2019,1,Huawei,972,1.26
428,Arunachal Pradesh,2019,1,Others,6165,8.01
429,Arunachal Pradesh,2019,2,Xiaomi,23326,24.33
430,Arunachal Pradesh,2019,2,Samsung,19719,20.57
431,Arunachal Pradesh,2019,2,Vivo,18958,19.77
432,Arunachal Pradesh,2019,2,Oppo,13678,14.27
433,Arunachal Pradesh,2019,2,Realme,5425,5.66
434,Arunachal Pradesh,2019,2,Apple,2169,2.26
435,Arunachal Pradesh,2019,2,Gionee,1608,1.68
436,Arunachal Pradesh,2019,2,Motorola,1404,1.46
437,Arunachal Pradesh,2019,2,OnePlus,1251,1.30
438,Arunachal Pradesh,2019,2,Huawei,1175,1.23
439,Arunachal Pradesh,2019,2,Others,7172,7.48
440,Arunachal Pradesh,2019,3,Xiaomi,27394,24.43
441,Arunachal Pradesh,2019,3,Vivo,22731,20.27
442,Arunachal Pradesh,2019,3,Samsung,22720,20.26
443,Arunachal Pradesh,2019,3,Oppo,16262,14.50
444,Arunachal Pradesh,2019,3,Realme,6477,5.78
445,Arunachal Pradesh,2019,3,Apple,2509,2.24
446,Arunachal Pradesh,2019,3,Gionee,1800,1.61
447,Arunachal Pradesh,2019,3,Motorola,1561,1.39
448,Arunachal Pradesh,2019,3,OnePlus,1390,1.24
449,Arunachal Pradesh,2019,3,Huawei,1377,1.23
450,Arunachal Pradesh,2019,3,Others,7928,7.07
451,Arunachal Pradesh,2019,4,Xiaomi,31369,24.26
452,Arunachal Pradesh,2019,4,Vivo,26787,20.71
453,Arunachal Pradesh,2019,4,Samsung,26087,20.17
454,Arunachal Pradesh,2019,4,Oppo,19208,14.85
455,Arunachal Pradesh,2019,4,Realme,7743,5.99
456,Arunachal Pradesh,2019,4,Apple,2811,2.17
457,Arunachal Pradesh,2019,4,Gionee,1983,1.53
458,Arunachal Pradesh,2019,4,Motorola,1637,1.27
459,Arunachal Pradesh,2019,4,Huawei,1581,1.22
460,Arunachal Pradesh,2019,4,OnePlus,1535,1.19
461,Arunachal Pradesh,2019,4,Others,8580,6.63
462,Arunachal Pradesh,2020,1,Xiaomi,35625,23.90
463,Arunachal Pradesh,2020,1,Vivo,31742,21.29
464,Arunachal Pradesh,2020,1,Samsung,29807,20.00
465,Arunachal Pradesh,2020,1,Oppo,22566,15.14
466,Arunachal Pradesh,2020,1,Realme,9351,6.27
467,Arunachal Pradesh,2020,1,Apple,3135,2.10
468,Arunachal Pradesh,2020,1,Gionee,2068,1.39
