,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
253,Arunachal Pradesh,2018,1,Financial Services,416,58894
254,Arunachal Pradesh,2018,1,Others,1990,1834253
255,Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468879
256,Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281
257,Arunachal Pradesh,2018,2,Merchant payments,2378,4718953
258,Arunachal Pradesh,2018,2,Financial Services,559,363762
259,Arunachal Pradesh,2018,2,Others,2043,1842317
260,Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997566
261,Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303
262,Arunachal Pradesh,2018,3,Merchant payments,4738,5505695
263,Arunachal Pradesh,2018,3,Financial Services,507,72134
264,Arunachal Pradesh,2018,3,Others,2039,2044709
265,Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662692
266,Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493
267,Arunachal Pradesh,2018,4,Merchant payments,7726,11998974
268,Arunachal Pradesh,2018,4,Financial Services,561,100598
269,Arunachal Pradesh,2018,4,Others,2222,2446272
270,Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895
271,Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821
272,Arunachal Pradesh,2019,1,Merchant payments,9214,11727218
273,Arunachal Pradesh,2019,1,Financial Services,256,140623
274,Arunachal Pradesh,2019,1,Others,2239,2730549
275,Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803
276,Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943
277,Arunachal Pradesh,2019,2,Merchant payments,16828,13955724
278,Arunachal Pradesh,2019,2,Financial Services,267,160661
279,Arunachal Pradesh,2019,2,Others,3046,3880743
280,Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946105
281,Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395
282,Arunachal Pradesh,2019,3,Merchant payments,16900,17178248
283,Arunachal Pradesh,2019,3,Financial Services,864,64089
284,Arunachal Pradesh,2019,3,Others,2758,3419197
285,Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906
286,Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137448
287,Arunachal Pradesh,2019,4,Merchant payments,19769,23192272
288,Arunachal Pradesh,2019,4,Financial Services,314,305380
289,Arunachal Pradesh,2019,4,Others,2376,3421174
290,Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011655
291,Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288
292,Arunachal Pradesh,2020,1,Merchant payments,31181,28553052
293,Arunachal Pradesh,2020,1,Financial Services,470,337813
294,Arunachal Pradesh,2020,1,Others,2261,2943873
295,Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528
296,Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426
297,Arunachal Pradesh,2020,2,Merchant payments,35169,46446967
298,Arunachal Pradesh,2020,2,Financial Services,1310,2655508
299,Arunachal Pradesh,2020,2,Others,1939,1761404
300,Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816
301,Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431
302,Arunachal Pradesh,2020,3,Merchant payments,72736,88145179
303,Arunachal Pradesh,2020,3,Financial Services,1761,4030600
304,Arunachal Pradesh,2020,3,Others,3005,2695539
305,Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938
306,Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181
307,Arunachal Pradesh,2020,4,Merchant payments,167387,156682926
308,Arunachal Pradesh,2020,4,Financial Services,1749,2391652
309,Arunachal Pradesh,2020,4,Others,4079,4055324
310,Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488559
311,Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358377
312,Arunachal Pradesh,2021,1,Merchant payments,155966,204958020
313,Arunachal Pradesh,2021,1,Financial Services,1558,2672460
314,Arunachal Pradesh,2021,1,Others,3074,3301663
315,Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152
316,Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844
317,Arunachal Pradesh,2021,2,Merchant payments,243375,283709439
318,Arunachal Pradesh,2021,2,Financial Services,1582,2761077
319,Arunachal Pradesh,2021,2,Others,3755,3415105
320,Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845
321,Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578
322,Arunachal Pradesh,2021,3,Merchant payments,314658,449869061
323,Arunachal Pradesh,2021,3,Financial Services,1934,3348548
324,Arunachal Pradesh,2021,3,Others,4185,3912143
325,Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378
326,Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816
327,Arunachal Pradesh,2021,4,Merchant payments,521447,704195695
328,Arunachal Pradesh,2021,4,Financial Services,2386,3933557
329,Arunachal Pradesh,2021,4,Others,5901,4862906
330,Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250
331,Arunachal Pradesh,2022,1,Merchant payments,720803,917155359
332,Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129
333,Arunachal Pradesh,2022,1,Financial Services,3053,3359626
334,Arunachal Pradesh,2022,1,Others,6052,5002264
335,Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061475
336,Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517
337,Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643
338,Arunachal Pradesh,2022,2,Financial Services,2466,4063469
339,Arunachal Pradesh,2022,2,Others,5768,3864270
340,Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284
341,Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143
342,Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448084
343,Arunachal Pradesh,2022,3,Financial Services,1997,4763325
344,Arunachal Pradesh,2022,3,Others,4687,3224949
345,Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088688
346,Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602213
347,Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412554
348,Arunachal Pradesh,2022,4,Financial Services,2617,3785469
349,Arunachal Pradesh,2022,4,Others,4838,4020774
350,Arunachal Pradesh,2023,1,Peer-to-peer payments,3879583,13170741327
351,Arunachal Pradesh,2023,1,Merchant payments,2922784,2802762028
352,Arunachal Pradesh,2023,1,Recharge & bill payments,1229475,409663161
353,Arunachal Pradesh,2023,1,Financial Services,4142,6310412
354,Arunachal Pradesh,2023,1,Others,6841,5101526
355,Arunachal Pradesh,2023,2,Peer-to-peer payments,4883817,15695323405
356,Arunachal Pradesh,2023,2,Merchant payments,4091876,3651614280
357,Arunachal Pradesh,2023,2,Recharge & bill payments,1374689,447452168
358,Arunachal Pradesh,2023,2,Financial Services,3392,5815474
359,Arunachal Pradesh,2023,2,Others,6714,5493337
360,Arunachal Pradesh,2023,3,Peer-to-peer payments,5889357,16351752522
361,Arunachal Pradesh,2023,3,Merchant payments,5451474,4277046551
362,Arunachal Pradesh,2023,3,Recharge & bill payments,1450780,482412481
363,Arunachal Pradesh,2023,3,Financial Services,4825,11365670
364,Arunachal Pradesh,2023,3,Others,5997,4813862
