,State,Year,Quarter,district,Transaction_count,Transaction_amount
292,Andhra Pradesh,2022,1,kurnool ,35093633,81568420501
293,Andhra Pradesh,2022,1,chittoor ,58561024,1.18E+11
294,Andhra Pradesh,2022,1,guntur ,57226996,1.30E+11
295,Andhra Pradesh,2022,1,krishna ,61826199,1.40E+11
296,Andhra Pradesh,2022,2,east godavari ,62072845,1.36E+11
297,Andhra Pradesh,2022,2,srikakulam ,23727353,53754764122
298,Andhra Pradesh,2022,2,spsr nellore ,54838708,1.22E+11
299,Andhra Pradesh,2022,2,vizianagaram ,21766135,47294745020
300,Andhra Pradesh,2022,2,visakhapatnam ,101387402,1.93E+11
301,Andhra Pradesh,2022,2,prakasam ,36163507,90435082546
302,Andhra Pradesh,2022,2,anantapur ,46099366,1.02E+11
303,Andhra Pradesh,2022,2,ysr ,33154559,87601310070
304,Andhra Pradesh,2022,2,west godavari ,44409239,1.08E+11
305,Andhra Pradesh,2022,2,kurnool ,40165692,92409350856
306,Andhra Pradesh,2022,2,chittoor ,67507661,1.36E+11
307,Andhra Pradesh,2022,2,guntur ,66315749,1.47E+11
308,Andhra Pradesh,2022,2,krishna ,73525814,1.64E+11
309,Andhra Pradesh,2022,3,east godavari ,61467134,1.30E+11
310,Andhra Pradesh,2022,3,srikakulam ,22126541,46899962922
311,Andhra Pradesh,2022,3,spsr nellore ,42116582,95099325968
312,Andhra Pradesh,2022,3,vizianagaram ,20440645,42513313395
313,Andhra Pradesh,2022,3,visakhapatnam ,97434546,1.81E+11
314,Andhra Pradesh,2022,3,prakasam ,35376080,87475230073
315,Andhra Pradesh,2022,3,anantapur ,45165363,97735649608
316,Andhra Pradesh,2022,3,ysr ,33119038,86016932181
317,Andhra Pradesh,2022,3,west godavari ,43635951,1.02E+11
318,Andhra Pradesh,2022,3,kurnool ,39557913,88415335176
319,Andhra Pradesh,2022,3,chittoor ,65751781,1.33E+11
320,Andhra Pradesh,2022,3,guntur ,65612317,1.42E+11
321,Andhra Pradesh,2022,3,krishna ,71051144,1.54E+11
322,Andhra Pradesh,2022,4,east godavari ,68016055,1.37E+11
323,Andhra Pradesh,2022,4,srikakulam ,23693779,47726411108
324,Andhra Pradesh,2022,4,spsr nellore ,42582064,92085916181
325,Andhra Pradesh,2022,4,vizianagaram ,22205190,44467386404
326,Andhra Pradesh,2022,4,visakhapatnam ,103790055,1.85E+11
327,Andhra Pradesh,2022,4,prakasam ,37211077,88105031866
328,Andhra Pradesh,2022,4,anantapur ,48299601,1.02E+11
329,Andhra Pradesh,2022,4,ysr ,35201596,87360426793
330,Andhra Pradesh,2022,4,west godavari ,47919930,1.05E+11
331,Andhra Pradesh,2022,4,kurnool ,43524766,94667441029
332,Andhra Pradesh,2022,4,chittoor ,70322534,1.37E+11
333,Andhra Pradesh,2022,4,guntur ,70723763,1.47E+11
334,Andhra Pradesh,2022,4,krishna ,76526667,1.58E+11
335,Andhra Pradesh,2023,1,east godavari ,115196449,2.23E+11
336,Andhra Pradesh,2023,1,srikakulam ,42209999,86486032409
337,Andhra Pradesh,2023,1,spsr nellore ,71318689,1.44E+11
338,Andhra Pradesh,2023,1,vizianagaram ,38838861,76472384525
339,Andhra Pradesh,2023,1,visakhapatnam ,164358781,2.77E+11
340,Andhra Pradesh,2023,1,prakasam ,63671149,1.42E+11
341,Andhra Pradesh,2023,1,anantapur ,82127373,1.62E+11
342,Andhra Pradesh,2023,1,ysr ,59768512,1.40E+11
343,Andhra Pradesh,2023,1,west godavari ,79094558,1.66E+11
344,Andhra Pradesh,2023,1,kurnool ,72405172,1.49E+11
345,Andhra Pradesh,2023,1,chittoor ,120192355,2.18E+11
346,Andhra Pradesh,2023,1,guntur ,114246185,2.26E+11
347,Andhra Pradesh,2023,1,krishna ,122104381,2.38E+11
348,Andhra Pradesh,2023,2,east godavari ,131243375,2.45E+11
349,Andhra Pradesh,2023,2,srikakulam ,47633204,93082175904
350,Andhra Pradesh,2023,2,spsr nellore ,82056071,1.65E+11
351,Andhra Pradesh,2023,2,vizianagaram ,43625851,82671020353
352,Andhra Pradesh,2023,2,visakhapatnam ,184918179,3.04E+11
353,Andhra Pradesh,2023,2,prakasam ,73598725,1.58E+11
354,Andhra Pradesh,2023,2,anantapur ,91695174,1.80E+11
355,Andhra Pradesh,2023,2,ysr ,66809788,1.56E+11
356,Andhra Pradesh,2023,2,west godavari ,92533269,1.88E+11
357,Andhra Pradesh,2023,2,kurnool ,81475907,1.67E+11
358,Andhra Pradesh,2023,2,chittoor ,136283483,2.46E+11
359,Andhra Pradesh,2023,2,guntur ,132035450,2.54E+11
360,Andhra Pradesh,2023,2,krishna ,141748488,2.67E+11
361,Andhra Pradesh,2023,3,east godavari ,148701666,2.60E+11
362,Andhra Pradesh,2023,3,srikakulam ,51382393,91818203167
363,Andhra Pradesh,2023,3,spsr nellore ,93875073,1.77E+11
364,Andhra Pradesh,2023,3,vizianagaram ,47856766,83289704541
365,Andhra Pradesh,2023,3,visakhapatnam ,209884966,3.29E+11
366,Andhra Pradesh,2023,3,prakasam ,84447202,1.71E+11
367,Andhra Pradesh,2023,3,anantapur ,104539628,1.92E+11
368,Andhra Pradesh,2023,3,ysr ,76091693,1.68E+11
369,Andhra Pradesh,2023,3,west godavari ,102962058,1.92E+11
370,Andhra Pradesh,2023,3,kurnool ,92890445,1.73E+11
371,Andhra Pradesh,2023,3,chittoor ,152863845,2.65E+11
372,Andhra Pradesh,2023,3,guntur ,150246761,2.71E+11
373,Andhra Pradesh,2023,3,krishna ,159421907,2.80E+11
374,Andhra Pradesh,2023,4,east godavari ,162793144,2.82E+11
375,Andhra Pradesh,2023,4,srikakulam ,56291337,97021746702
376,Andhra Pradesh,2023,4,spsr nellore ,97721962,1.79E+11
377,Andhra Pradesh,2023,4,vizianagaram ,53248760,90289502507
378,Andhra Pradesh,2023,4,visakhapatnam ,223584765,3.45E+11
