,State,Year,Quarter,district,registeredUsers,appOpens
362,Andhra Pradesh,2023,3,srikakulam ,1375950,44064462
363,Andhra Pradesh,2023,3,visakhapatnam ,4035323,116087299
364,Andhra Pradesh,2023,3,prakasam ,1868997,94303883
365,Andhra Pradesh,2023,3,anantapur ,2421293,152875757
366,Andhra Pradesh,2023,3,kurnool ,2295754,124493256
367,Andhra Pradesh,2023,3,guntur ,3137289,71855007
368,Andhra Pradesh,2023,3,krishna ,3177643,73280755
369,Andhra Pradesh,2023,3,spsr nellore ,1887005,73583227
370,Andhra Pradesh,2023,3,vizianagaram ,1190571,41978556
371,Andhra Pradesh,2023,3,ysr ,1764648,78787151
372,Andhra Pradesh,2023,3,west godavari ,2146530,73274852
373,Andhra Pradesh,2023,3,chittoor ,2981337,129032458
374,Andhra Pradesh,2023,4,east godavari ,3329036,143550882
375,Andhra Pradesh,2023,4,srikakulam ,1430226,48122562
376,Andhra Pradesh,2023,4,visakhapatnam ,4180797,163404880
377,Andhra Pradesh,2023,4,prakasam ,1939979,69411660
378,Andhra Pradesh,2023,4,anantapur ,2512744,123617506
379,Andhra Pradesh,2023,4,kurnool ,2383042,86461750
380,Andhra Pradesh,2023,4,guntur ,3251121,132403935
381,Andhra Pradesh,2023,4,krishna ,3291814,121925706
382,Andhra Pradesh,2023,4,spsr nellore ,1956706,78993397
383,Andhra Pradesh,2023,4,vizianagaram ,1236735,42889385
384,Andhra Pradesh,2023,4,ysr ,1829864,69721701
385,Andhra Pradesh,2023,4,west godavari ,2227243,86297777
386,Andhra Pradesh,2023,4,chittoor ,3089391,143201818
387,Andhra Pradesh,2024,1,east godavari ,3465605,70700482
388,Andhra Pradesh,2024,1,srikakulam ,1492803,25384857
389,Andhra Pradesh,2024,1,visakhapatnam ,4349723,183432261
390,Andhra Pradesh,2024,1,prakasam ,2022873,57134465
391,Andhra Pradesh,2024,1,anantapur ,2619335,121235223
392,Andhra Pradesh,2024,1,kurnool ,2484451,115346032
393,Andhra Pradesh,2024,1,guntur ,3382454,82606973
394,Andhra Pradesh,2024,1,krishna ,3423998,59203320
395,Andhra Pradesh,2024,1,spsr nellore ,2037823,73245409
396,Andhra Pradesh,2024,1,vizianagaram ,1289838,45744793
397,Andhra Pradesh,2024,1,ysr ,1905157,75306755
398,Andhra Pradesh,2024,1,west godavari ,2319971,59978637
399,Andhra Pradesh,2024,1,chittoor ,3214678,110865896
400,Arunachal Pradesh,2018,1,lower subansiri ,498,0
401,Arunachal Pradesh,2018,1,tirap ,557,0
402,Arunachal Pradesh,2018,1,papum pare ,7649,0
403,Arunachal Pradesh,2018,1,anjaw ,278,0
404,Arunachal Pradesh,2018,1,lower siang ,270,0
405,Arunachal Pradesh,2018,1,dibang valley ,66,0
406,Arunachal Pradesh,2018,1,west kameng ,2202,0
